,,,Goalies,,,,,,,,,
Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Braden Holtby,WAS,66,48,9,7,2.2,141,"1,802","1,661",.922,3,"3,841"
Jonathan Quick,LA,68,40,23,5,2.2,149,"1,820","1,671",.918,5,"4,034"
Martin Jones,SJ,65,37,23,4,2.3,143,"1,734","1,591",.918,6,"3,786"
Corey Crawford,CHI,58,35,18,5,2.4,131,"1,718","1,587",.924,7,"3,323"
Roberto Luongo,FA,62,35,19,6,2.4,141,"1,801","1,660",.922,4,"3,602"
Ben Bishop,DAL,61,35,21,4,2.1,123,"1,672","1,549",.926,6,"3,585"
Henrik Lundqvist,NYR,65,35,21,7,2.5,156,"1,944","1,788",.920,4,"3,772"
Marc-Andre Fleury,VGK,58,35,17,6,2.3,132,"1,665","1,533",.921,5,"3,463"
Pekka Rinne,NSH,66,34,21,10,2.5,161,"1,744","1,583",.908,4,"3,895"
Devan Dubnyk,MIN,67,32,26,6,2.3,150,"1,829","1,679",.918,5,"3,861"
Craig Anderson,OTT,60,31,23,5,2.8,161,"1,915","1,754",.916,4,"3,477"
Tuukka Rask,BOS,64,31,22,8,2.6,157,"1,854","1,697",.915,4,"3,678"
Cory Schneider,NJ,58,27,25,6,2.2,122,"1,597","1,475",.924,4,"3,412"
Semyon Varlamov,NYI,57,27,25,3,2.8,148,"1,714","1,566",.914,2,"3,159"
Petr Mrazek,CAR,54,27,16,6,2.3,115,"1,448","1,333",.921,4,"2,961"
Jake Allen,STL,47,26,15,3,2.4,101,"1,260","1,159",.920,6,"2,583"
Antti Niemi,FA,48,25,13,7,2.7,118,"1,246","1,128",.905,3,"2,654"
Kari Lehtonen,FA,43,25,10,2,2.8,105,"1,121","1,016",.906,2,"2,279"
Cam Ward,FA,52,23,17,10,2.4,122,"1,343","1,221",.909,1,"3,038"
Thomas Greiss,NYI,41,23,11,4,2.4,90,"1,197","1,107",.925,1,"2,287"
Brian Elliott,PHI,42,23,8,6,2.1,78,"1,113","1,035",.930,4,"2,263"
Steve Mason,FA,54,23,19,10,2.5,132,"1,602","1,470",.918,4,"3,150"
Frederik Andersen,TOR,43,22,9,7,2.3,88,"1,086",998,.919,3,"2,298"
Chad Johnson,FA,45,22,16,4,2.4,102,"1,270","1,168",.920,1,"2,591"
John Gibson,ANH,40,21,13,4,2.1,79,992,913,.920,4,"2,295"
Cam Talbot,CGY,56,21,27,5,2.6,137,"1,648","1,511",.917,3,"3,223"
Mike Condon,TB,55,21,25,6,2.7,141,"1,458","1,317",.903,1,"3,123"
Michal Neuvirth,FA,32,18,8,4,2.3,69,908,839,.924,3,"1,825"
