,,,,Overall,,,,,,,PP,,SH,,Defense,
Kevin Fiala,MIN,LW,64,23,31,54,-1,42,175,4,9,9,0,0,25,18
Kevin Hayes,PHI,C,69,23,18,41,-6,34,175,5,4,3,4,0,88,22
Jonathan Huberdeau,FLA,LW,69,23,55,78,5,30,152,3,5,24,0,0,51,26
Jonathan Marchessault,VGK,LW,66,22,25,47,6,28,235,3,6,6,0,0,99,12
Bo Horvat,VAN,C,69,22,31,53,-15,21,178,2,12,4,0,0,55,66
Ryan Nugent-Hopkins,EDM,LW,65,22,39,61,1,33,172,4,7,17,0,0,33,44
Tomas Tatar,MON,LW,68,22,39,61,5,36,162,1,8,6,0,0,79,24
Sean Couturier,PHI,C,69,22,37,59,21,30,185,4,4,9,0,0,60,26
Blake Wheeler,WPG,RW,71,22,43,65,1,37,180,2,4,18,1,1,102,51
Timo Meier,SJ,LW,70,22,27,49,-22,42,199,2,2,7,0,0,155,38
Brendan Gallagher,MON,RW,59,22,21,43,9,29,226,1,1,4,0,0,53,29
Sean Monahan,CGY,C,70,22,26,48,-16,25,166,5,8,8,0,0,65,22
Sam Reinhart,BUF,RW,69,22,28,50,-15,20,144,2,5,7,0,0,36,27
Jaden Schwartz,STL,LW,71,22,35,57,3,18,162,4,9,11,0,0,60,28
Conor Garland,ARI,RW,68,22,17,39,1,20,158,5,4,6,0,0,26,20
Zach Hyman,TOR,RW,51,21,16,37,13,23,106,1,3,3,1,0,52,23
Tom Wilson,WAS,RW,68,21,23,44,-3,93,154,5,5,2,1,1,253,58
Brandon Saad,CHI,LW,58,21,12,33,2,16,140,5,1,0,2,0,36,19
Claude Giroux,PHI,C,69,21,32,53,7,28,197,6,7,13,1,1,45,16
Mark Stone,VGK,RW,65,21,42,63,15,27,168,3,6,11,0,1,56,51
Jakob Silfverberg,ANH,RW,66,21,18,39,0,14,155,1,4,3,2,0,28,41
Gabriel Landeskog,COL,LW,54,21,23,44,-2,47,145,4,6,9,0,0,86,35
Filip Forsberg,NSH,RW,63,21,27,48,-7,29,198,2,7,7,0,0,82,27
Oliver Bjorkstrand,CLS,RW,49,21,15,36,8,12,162,5,3,3,0,0,43,16
Brady Tkachuk,OTT,LW,71,21,23,44,-14,106,259,3,2,6,0,0,303,43
Tanner Pearson,VAN,LW,69,21,24,45,-4,27,164,3,3,7,2,1,96,40
Blake Coleman,TB,C,66,21,11,32,0,56,200,2,1,2,3,1,191,46
Anze Kopitar,LA,C,70,21,41,62,6,16,135,5,7,14,1,0,49,56
Tyler Bertuzzi,DET,LW,71,21,27,48,-23,40,129,1,3,11,0,0,71,30
Andre Burakovsky,COL,LW,58,20,25,45,11,22,103,6,2,9,0,0,26,34
Zach Werenski,CLS,D,63,20,21,41,9,10,187,4,5,8,1,0,36,58
Denis Gurianov,DAL,RW,64,20,9,29,5,13,132,4,7,5,0,0,63,18
Victor Olofsson,BUF,LW,54,20,22,42,-1,6,127,4,11,6,0,0,10,16
Anders Lee,NYI,C,68,20,23,43,8,47,195,6,2,5,0,0,102,50
Jake Guentzel,PIT,LW,39,20,23,43,11,14,127,4,6,4,0,0,46,19
Noel Acciari,FLA,C,66,20,7,27,2,21,108,5,0,0,1,0,121,103
Jason Zucker,PIT,LW,60,20,21,41,-4,21,111,4,7,5,0,0,53,23
Aleksander Barkov,FLA,C,66,20,42,62,2,18,172,2,7,13,0,1,21,35
Jake DeBrusk,BOS,LW,65,19,16,35,-1,14,161,5,7,3,0,0,35,15
Evgeny Kuznetsov,WAS,C,63,19,33,52,-2,40,129,0,6,6,0,0,35,16
Roope Hintz,DAL,LW,60,19,14,33,3,16,120,5,3,11,2,0,73,28
Eric Staal,MIN,C,66,19,28,47,-9,28,113,5,5,9,0,0,24,22
Mathew Barzal,NYI,C,68,19,41,60,5,44,171,2,4,8,0,0,22,43
Dylan Larkin,DET,C,71,19,34,53,-21,39,223,0,5,9,0,0,52,45
Jamie Benn,DAL,C,69,19,20,39,-4,53,163,4,8,6,0,0,167,57
Nazem Kadri,COL,C,51,19,17,36,7,97,133,1,4,7,0,0,61,9
Mikko Rantanen,COL,RW,42,19,22,41,-2,14,107,5,8,6,0,0,28,23
James Neal,EDM,RW,55,19,12,31,-20,12,112,2,12,5,0,0,88,17
James van Riemsdyk,PHI,LW,66,19,21,40,5,8,151,2,4,5,0,0,25,18
Brett Connolly,FLA,RW,69,19,14,33,-3,26,117,3,4,2,0,0,56,17
Johnny Gaudreau,CGY,LW,70,18,40,58,-10,12,209,2,6,12,0,0,1,11
Ryan Strome,NYR,C,70,18,41,59,21,48,154,3,3,14,0,1,45,32
Craig Smith,NSH,RW,69,18,13,31,18,34,184,2,4,3,0,0,60,19
Alex DeBrincat,CHI,RW,70,18,27,45,-10,15,207,4,10,6,0,0,58,19
Anthony Beauvillier,NYI,LW,68,18,21,39,-11,15,132,3,3,4,1,0,86,36
Pierre-Luc Dubois,CLS,C,70,18,31,49,-2,49,158,4,1,9,0,0,85,50
Christian Dvorak,ARI,LW,70,18,20,38,6,12,134,2,6,4,0,0,39,36
Nick Bonino,NSH,C,67,18,17,35,17,16,104,3,1,0,0,0,17,89
Jake Virtanen,VAN,LW,69,18,18,36,-4,41,150,6,6,3,0,0,102,28
Jonathan Toews,CHI,C,70,18,42,60,-2,48,172,3,1,7,1,0,56,35
Clayton Keller,ARI,C,70,17,27,44,-6,28,184,2,2,13,0,0,20,13
Vladislav Namestnikov,COL,C,65,17,14,31,-5,45,98,2,2,2,4,2,108,47
Andrew Mangiapane,CGY,LW,68,17,15,32,4,18,109,2,0,1,0,0,73,25
Mikael Granlund,NSH,C,63,17,13,30,-4,28,130,4,4,2,1,0,42,55
Jeff Carter,LA,C,60,17,10,27,-21,36,182,7,3,2,0,0,66,23
Dustin Brown,LA,RW,66,17,18,35,-1,22,169,1,1,4,0,0,143,15
Paul Stastny,VGK,C,71,17,21,38,6,24,136,3,5,5,0,1,63,32
Ondrej Palat,TB,LW,69,17,24,41,25,22,128,2,4,4,1,0,145,61
Tyler Seguin,DAL,C,69,17,33,50,-2,22,245,6,3,12,0,0,90,31
Carl Soderberg,ARI,C,70,17,18,35,6,18,135,1,6,5,0,0,77,41
Max Domi,MON,C,71,17,27,44,-3,35,179,3,1,10,0,0,32,13
Patric Hornqvist,PIT,RW,52,17,15,32,9,36,168,2,3,4,0,0,107,41
Alex Iafallo,LA,C,70,17,26,43,1,14,142,3,6,3,0,0,49,47
Martin Necas,CAR,C,64,16,20,36,-6,20,88,3,5,4,0,0,65,19
Brock Boeser,VAN,RW,57,16,29,45,4,14,169,3,5,9,0,0,28,14
Jordan Eberle,NYI,RW,58,16,24,40,1,12,136,1,4,7,0,0,37,39
Pavel Buchnevich,NYR,LW,68,16,30,46,2,24,148,1,4,5,0,0,80,22
Lars Eller,WAS,C,69,16,23,39,3,48,151,1,2,4,1,1,59,44
Joel Armia,MON,RW,58,16,14,30,2,28,155,2,3,1,3,1,146,25
Tomas Hertl,SJ,LW,48,16,20,36,-18,16,117,1,2,5,2,0,29,25
Anthony Mantha,DET,RW,43,16,22,38,-7,34,137,3,6,3,0,0,49,25
Alex Pietrangelo,STL,D,70,16,36,52,11,20,225,3,6,16,0,1,47,89
Taylor Hall,ARI,LW,65,16,36,52,-14,34,232,1,4,14,0,0,47,29
Tyler Ennis,EDM,LW,70,16,21,37,-6,20,159,1,5,5,0,0,96,26
Jesper Bratt,NJ,LW,60,16,16,32,-6,6,101,2,1,5,0,0,29,22
Mikael Backlund,CGY,C,70,16,29,45,3,26,157,3,3,7,3,0,44,11
Frank Vatrano,FLA,LW,69,16,18,34,-8,30,162,4,2,0,2,0,102,43
Connor Brown,OTT,RW,71,16,27,43,-6,24,173,1,3,1,0,2,39,35
Anthony Cirelli,TB,C,68,16,28,44,28,30,113,3,1,4,1,1,89,47
Joonas Donskoi,COL,RW,65,16,17,33,2,26,111,2,4,1,0,0,25,38
Charlie Coyle,BOS,C,70,16,21,37,9,21,145,3,1,4,2,0,83,34
Zach Sanford,STL,LW,58,16,14,30,13,28,90,3,1,0,0,0,109,32
Mitch Marner,TOR,C,59,16,51,67,6,16,154,2,6,18,0,1,24,37
Roman Josi,NSH,D,69,16,49,65,22,41,260,1,4,19,0,0,52,108
Sidney Crosby,PIT,C,41,16,31,47,-8,15,109,4,4,13,0,0,28,17
Logan Couture,SJ,C,52,16,23,39,0,18,126,3,0,9,0,2,54,45
Teuvo Teravainen,CAR,C,68,15,48,63,20,8,182,1,4,17,1,3,18,30
Lawson Crouse,ARI,LW,66,15,10,25,0,33,109,3,0,0,1,0,201,29
Rickard Rakell,ANH,C,65,15,27,42,-5,12,186,2,3,6,0,3,81,29
William Karlsson,VGK,C,63,15,31,46,11,16,138,1,2,6,2,3,40,38
Zack Kassian,EDM,RW,59,15,19,34,0,69,99,1,0,0,0,0,157,8
Shea Weber,MON,D,65,15,21,36,8,33,185,2,3,5,0,0,112,114
Viktor Arvidsson,NSH,LW,57,15,13,28,-4,26,127,1,4,4,0,0,27,24
Mats Zuccarello,MIN,RW,65,15,22,37,-9,18,96,2,3,4,0,0,13,36
John Carlson,WAS,D,69,15,60,75,12,26,189,6,2,24,0,0,55,108
Artem Anisimov,OTT,C,49,15,5,20,-15,8,87,1,5,1,0,0,6,25
Kris Letang,PIT,D,61,15,29,44,0,38,177,2,6,9,0,0,101,91
Anthony DeAngelo,NYR,D,68,15,38,53,12,47,149,3,3,16,0,0,48,57
Alexander Radulov,DAL,RW,60,15,19,34,8,46,132,3,7,3,0,0,48,42
Luke Kunin,MIN,C,63,15,16,31,-10,55,128,1,0,2,1,0,64,54
Gustav Nyquist,CLS,RW,70,15,27,42,4,16,151,3,3,6,1,0,37,26
Calle Jarnkrok,NSH,C,64,15,19,34,4,14,136,1,2,7,2,0,28,27
Robby Fabbri,DET,LW,61,15,17,32,-33,20,111,3,6,3,0,0,75,14
Derek Grant,PHI,C,56,15,10,25,1,30,94,5,2,0,3,2,54,25
Ryan Johansen,NSH,C,68,14,22,36,-5,45,101,2,3,6,1,0,39,34
Nico Hischier,NJ,C,58,14,22,36,-16,12,123,1,2,8,1,1,48,37
Phil Kessel,ARI,RW,70,14,24,38,-21,22,153,2,9,8,0,0,11,20
Dougie Hamilton,CAR,D,47,14,26,40,30,32,170,3,2,10,0,1,52,63
Ryan Donato,MIN,C,62,14,9,23,5,12,95,1,0,2,0,0,53,14
Josh Bailey,NYI,LW,68,14,29,43,-12,10,94,2,2,7,1,0,20,48
Jeff Skinner,BUF,LW,59,14,9,23,-22,18,183,1,0,3,0,0,29,11
Jared McCann,PIT,C,66,14,21,35,6,17,150,4,2,4,0,0,89,27
Filip Chytil,NYR,C,60,14,9,23,-7,10,114,2,1,2,0,0,13,31
Tyler Johnson,TB,C,65,14,17,31,9,16,113,2,1,6,0,0,62,22
Kevin Labanc,SJ,RW,70,14,19,33,-33,38,176,3,3,6,0,0,46,24
Joe Pavelski,DAL,RW,67,14,17,31,6,29,125,3,6,5,0,1,62,52
Phillip Danault,MON,C,71,13,34,47,18,32,131,1,1,3,0,0,119,37
Shea Theodore,VGK,D,71,13,33,46,12,25,219,4,1,15,1,0,20,69
Ryan Getzlaf,ANH,C,69,13,29,42,-16,58,143,5,3,6,0,0,125,69
Artturi Lehkonen,MON,LW,70,13,14,27,2,24,140,1,0,0,1,0,120,38
Warren Foegele,CAR,LW,68,13,17,30,9,34,129,1,0,0,3,0,64,17
David Krejci,BOS,C,61,13,30,43,14,23,83,3,3,11,0,0,37,32
Tyler Bozak,STL,C,67,13,16,29,0,10,109,2,2,2,1,0,32,33
Nick Suzuki,MON,C,71,13,28,41,-15,6,138,1,6,8,0,0,64,32
Ivan Provorov,PHI,D,69,13,23,36,11,24,150,3,7,9,0,1,84,111
Valeri Nichushkin,COL,LW,65,13,14,27,26,14,113,3,1,0,1,0,84,22
Scott Laughton,PHI,C,49,13,14,27,13,26,74,2,0,0,0,0,109,26
Kasperi Kapanen,TOR,RW,69,13,23,36,0,22,121,2,0,3,2,0,73,17
Matt Duchene,NSH,C,66,13,29,42,-4,24,136,1,5,6,0,0,40,22
Nikita Gusev,NJ,LW,66,13,31,44,-15,12,158,2,5,10,0,0,12,7
Jakob Chychrun,ARI,D,63,12,14,26,4,38,149,2,5,3,0,0,75,95
Jesper Fast,NYR,RW,69,12,17,29,16,20,84,1,0,0,2,0,125,53
Erik Haula,FLA,C,48,12,12,24,1,22,92,2,4,4,0,0,27,15
Zemgus Girgensons,BUF,C,69,12,7,19,-1,10,85,1,0,0,1,0,110,20
Jack Roslovic,WPG,RW,71,12,17,29,4,12,117,0,1,1,0,0,58,21
Jakub Voracek,PHI,LW,69,12,44,56,14,31,132,3,4,13,0,0,17,21
Ryan O'Reilly,STL,C,71,12,49,61,11,10,118,3,2,16,1,0,16,42
Adam Gaudette,VAN,C,59,12,21,33,-7,37,75,1,4,8,0,0,29,20
Dominik Kahun,BUF,C,56,12,19,31,8,8,87,2,1,1,0,0,5,22
Nicklas Backstrom,WAS,C,61,12,42,54,-1,14,132,0,2,16,0,0,30,45
Cam Atkinson,CLS,RW,44,12,14,26,2,6,148,2,3,5,0,0,18,21
Oskar Sundqvist,STL,C,57,12,11,23,5,28,97,1,0,0,1,1,60,26
Dylan Strome,CHI,C,58,12,26,38,1,16,97,2,2,6,0,0,23,29
Brent Burns,SJ,D,70,12,33,45,-22,34,225,1,5,12,0,1,72,115
Jared Spurgeon,MIN,D,62,12,20,32,-1,18,112,2,3,10,0,0,61,102
Matt Calvert,COL,LW,50,12,13,25,13,39,89,1,0,0,3,1,58,22
Josh Archibald,EDM,RW,62,12,9,21,-8,12,64,3,0,0,2,1,165,44
Cale Makar,COL,D,57,12,38,50,12,12,121,4,4,15,0,0,45,47
Lucas Wallmark,FLA,C,67,12,13,25,0,18,84,0,3,3,0,1,57,26
Alex Chiasson,EDM,RW,65,11,13,24,-3,42,97,3,6,7,0,0,56,15
Vincent Trocheck,CAR,C,62,11,27,38,-8,49,141,2,1,6,1,0,101,37
J.T. Compher,COL,C,67,11,20,31,9,18,106,3,1,4,0,3,36,60
Andreas Athanasiou,EDM,C,55,11,15,26,-46,30,129,2,3,4,0,0,36,24
Nick Schmaltz,ARI,RW,70,11,34,45,3,20,95,2,2,11,0,0,12,35
Chris Tierney,OTT,C,71,11,26,37,-6,20,102,2,1,1,4,1,44,37
Adrian Kempe,LA,C,69,11,21,32,-10,29,148,2,2,8,2,2,71,17
Marcus Foligno,MIN,LW,59,11,14,25,8,30,86,0,0,0,0,0,184,36
Victor Hedman,TB,D,66,11,44,55,27,31,155,3,4,18,0,0,73,98
Miles Wood,NJ,LW,68,11,12,23,-19,57,141,1,0,0,0,0,102,26
Radek Faksa,DAL,C,66,11,9,20,-6,42,109,3,3,0,0,0,84,44
Chandler Stephenson,VGK,RW,65,11,15,26,24,16,73,5,1,1,2,1,52,32
Oskar Lindblom,PHI,LW,30,11,7,18,4,4,72,0,3,1,0,0,31,16
Boone Jenner,CLS,LW,70,11,13,24,-14,36,179,1,2,2,0,1,109,80
Nino Niederreiter,CAR,RW,67,11,18,29,-3,42,115,2,4,7,0,0,52,19
Brandon Tanev,PIT,LW,68,11,14,25,-1,16,95,4,0,1,2,1,244,65
Ivan Barbashev,STL,LW,69,11,15,26,3,23,75,2,0,0,2,1,144,33
Jeff Petry,MON,D,71,11,29,40,-10,26,158,3,3,9,1,0,177,79
Patrick Marleau,PIT,LW,66,11,11,22,-5,14,117,3,1,0,0,0,57,24
Kailer Yamamoto,EDM,LW,27,11,15,26,17,12,44,0,2,0,0,0,45,13
Rocco Grimaldi,NSH,C,66,10,21,31,10,10,122,1,0,0,0,0,23,14
Derick Brassard,NYI,C,66,10,22,32,-2,16,110,1,3,7,0,0,115,24
Ilya Kovalchuk,WAS,RW,46,10,16,26,-4,18,115,3,2,3,0,0,52,23
Ryan Pulock,NYI,D,68,10,25,35,8,14,163,3,3,5,0,0,110,139
Robert Thomas,STL,C,66,10,32,42,9,18,87,2,1,6,0,0,13,13
Emil Bemstrom,CLS,C,56,10,10,20,-10,8,97,4,5,3,0,0,52,17
Alexander Nylander,CHI,RW,65,10,16,26,-2,10,94,1,0,2,0,0,29,14
Derek Ryan,CGY,C,68,10,19,29,9,10,102,0,1,3,1,1,12,34
Yanni Gourde,TB,LW,70,10,20,30,-5,49,110,5,1,5,2,1,78,20
Danton Heinen,ANH,C,67,10,16,26,-2,10,109,2,3,3,0,0,35,34
Derek Stepan,ARI,C,70,10,18,28,-4,16,158,2,1,6,1,0,43,54
Mikhail Sergachev,TB,D,70,10,24,34,15,58,118,0,5,8,1,0,106,99
Nick Foligno,CLS,LW,67,10,21,31,-3,62,131,1,2,2,0,1,212,50
Conor Sheary,PIT,LW,63,10,13,23,-5,10,102,1,1,2,0,0,28,26
Nick Cousins,VGK,C,65,10,15,25,0,35,115,0,3,2,0,0,91,31
Kaapo Kakko,NYR,RW,66,10,13,23,-26,14,109,3,2,11,0,0,20,11
Andrew Copp,WPG,C,63,10,16,26,-3,10,121,5,1,0,0,3,59,27
Colton Parayko,STL,D,64,10,18,28,8,16,162,1,3,2,0,1,87,106
Casey Cizikas,NYI,C,48,10,4,14,12,41,67,1,0,0,3,2,133,39
Oliver Ekman-Larsson,ARI,D,66,9,21,30,-3,38,135,1,2,5,1,0,129,65
Alex Kerfoot,TOR,C,65,9,19,28,-2,32,88,1,1,2,0,0,48,41
Ryan Graves,COL,D,69,9,17,26,40,45,134,0,0,0,0,2,112,150
Pierre-Edouard Bellemare,COL,C,69,9,13,22,2,17,85,0,0,0,2,2,43,46
Ryan Hartman,MIN,RW,69,9,11,20,4,69,114,1,1,0,0,0,44,54
Colton Sissons,NSH,RW,57,9,6,15,-2,20,52,2,0,0,1,0,84,41
Marcus Johansson,BUF,LW,60,9,21,30,-12,20,87,1,1,5,0,0,39,22
Darren Helm,DET,C,68,9,7,16,-6,37,102,0,0,0,1,1,88,26
Patrick Maroon,TB,LW,64,9,14,23,4,71,80,1,1,2,0,0,104,13
Filip Hronek,DET,D,65,9,22,31,-38,46,125,0,1,9,0,0,105,74
Carter Verhaeghe,TB,C,52,9,4,13,-9,8,57,1,1,0,0,0,29,8
Jimmy Vesey,BUF,LW,64,9,11,20,12,15,93,2,0,1,1,0,43,20
Brett Howden,NYR,C,70,9,10,19,-11,28,64,2,1,1,0,2,69,67
Garnet Hathaway,WAS,RW,66,9,7,16,6,79,80,1,0,0,0,1,189,46
Kyle Okposo,BUF,RW,52,9,10,19,-3,28,82,2,1,0,0,0,55,15
Jason Spezza,TOR,C,58,9,16,25,-3,18,73,0,2,5,0,0,13,19
Richard Panik,WAS,RW,59,9,13,22,16,36,67,1,0,0,0,0,75,19
Torey Krug,BOS,D,61,9,40,49,-4,33,144,4,2,26,0,0,36,48
Teddy Blueger,PIT,C,69,9,13,22,2,25,102,2,0,0,0,2,83,35
Cam Fowler,ANH,D,59,9,20,29,0,20,117,2,2,6,0,0,25,58
Kyle Turris,NSH,C,62,9,22,31,-9,22,88,4,2,8,0,0,18,25
Drake Caggiula,CHI,LW,40,9,6,15,-3,32,56,0,1,0,0,1,81,16
Anders Bjork,BOS,LW,58,9,10,19,5,10,66,0,1,0,0,0,43,21
Nick Paul,OTT,LW,56,9,11,20,0,24,103,2,0,1,0,0,122,39
Nick Ritchie,BOS,LW,48,9,12,21,1,97,78,2,2,1,0,0,102,17
Travis Zajac,NJ,C,69,9,16,25,-12,28,72,1,1,0,1,2,58,39
Mark Pysyk,FLA,D,58,9,9,18,4,20,64,1,0,0,0,0,47,38
Ben Chiarot,MON,D,69,9,12,21,5,61,130,3,0,0,0,0,152,128
Jason Dickinson,DAL,C,65,9,12,21,7,6,85,1,0,0,0,1,89,55
Vince Dunn,STL,D,71,9,14,23,15,27,138,1,4,6,0,0,50,47
Max Jones,ANH,LW,59,8,4,12,-6,36,102,0,0,1,1,0,82,18
Miro Heiskanen,DAL,D,68,8,27,35,14,12,163,0,0,7,0,0,40,84
Andreas Johnsson,TOR,LW,43,8,13,21,0,14,78,1,4,1,0,0,43,21
Pierre Engvall,TOR,LW,48,8,7,15,4,6,72,3,0,0,1,1,29,10
Carl Hagelin,WAS,LW,58,8,17,25,12,16,107,2,0,0,1,2,24,19
Michael Grabner,ARI,RW,46,8,3,11,-4,6,61,0,0,0,1,0,21,12
Brandon Sutter,VAN,C,44,8,9,17,1,25,76,0,1,2,0,0,18,15
Wayne Simmonds,BUF,RW,68,8,17,25,-21,66,119,1,5,4,0,0,145,29
Blake Comeau,DAL,LW,55,8,8,16,-6,36,74,2,0,0,1,1,107,24
Tomas Nosek,VGK,LW,67,8,7,15,-2,20,93,1,0,0,1,0,91,38
Matt Nieto,COL,LW,70,8,13,21,7,6,85,3,0,0,2,0,37,23
Jordan Greenway,MIN,LW,67,8,20,28,2,54,93,1,0,3,0,0,95,44
Tyson Jost,COL,C,67,8,15,23,11,22,115,0,1,4,0,0,58,18
Pavel Zacha,NJ,C,65,8,24,32,-12,14,97,1,3,5,2,2,62,19
Kevin Shattenkirk,TB,D,70,8,26,34,22,38,131,0,1,6,0,0,62,66
Ryan Reaves,VGK,RW,71,8,7,15,-5,47,61,1,0,0,0,0,316,24
Justin Williams,CAR,RW,20,8,3,11,2,6,60,2,2,1,0,0,20,7
Ryan Suter,MIN,D,69,8,40,48,-6,12,111,2,2,16,0,0,48,93
Mike Matheson,FLA,D,59,8,12,20,-1,14,104,1,1,1,0,0,44,53
Joel Eriksson Ek,MIN,C,62,8,21,29,7,22,102,4,1,0,0,1,93,43
Adam Fox,NYR,D,70,8,34,42,22,32,125,4,1,12,0,0,35,92
Ryan Dzingel,CAR,C,64,8,21,29,3,30,98,1,4,5,0,0,36,25
Sam Bennett,CGY,LW,52,8,4,12,-1,36,82,0,0,1,0,0,101,13
Alex Tuch,VGK,RW,42,8,9,17,-10,8,98,2,3,4,0,0,58,20
Jordan Weal,MON,C,49,8,7,15,-8,14,86,2,2,3,0,0,32,21
Ilya Mikheyev,TOR,RW,39,8,15,23,7,4,98,1,0,0,1,0,26,13
Ryan Ellis,NSH,D,49,8,30,38,16,19,114,3,2,7,0,0,48,96
Brad Hunt,MIN,D,59,8,11,19,-7,6,106,0,3,7,0,0,12,39
Brady Skjei,CAR,D,67,8,16,24,-10,45,139,1,0,0,0,2,103,96
Carter Rowney,ANH,C,71,8,11,19,5,14,63,1,0,0,2,2,189,42
Damon Severson,NJ,D,69,8,23,31,-20,52,114,2,3,7,0,0,81,97
Quinn Hughes,VAN,D,68,8,45,53,-10,22,126,2,3,22,0,0,7,46
Michael Raffl,PHI,LW,58,8,12,20,-2,14,66,2,0,1,1,0,73,25
Jordan Staal,CAR,C,68,8,19,27,3,40,125,0,2,1,0,0,149,36
Matt Niskanen,PHI,D,68,8,25,33,15,29,126,0,4,9,1,0,124,84
David Kampf,CHI,RW,70,8,8,16,-11,8,90,2,0,0,1,0,52,26
Joel Farabee,PHI,LW,52,8,13,21,6,39,81,1,1,1,0,0,31,18
Kirby Dach,CHI,C,64,8,15,23,-1,24,101,2,0,3,0,0,33,23
Milan Lucic,CGY,LW,68,8,12,20,-6,54,83,1,5,3,0,0,198,20
Tyler Pitlick,PHI,C,63,8,12,20,11,12,76,1,0,0,0,0,132,42
Travis Sanheim,PHI,D,69,8,17,25,4,32,110,0,0,4,0,0,41,79
