,,,,Overall,,,,,,,PP,,SH,,Defense,
Morgan Rielly,TOR,D,82,20,52,72,24,14,223,5,3,18,0,0,61,114
Blake Wheeler,WPG,RW,82,20,71,91,0,60,231,3,2,31,2,1,81,53
David Krejci,BOS,C,81,20,53,73,7,16,139,4,6,10,0,0,28,24
Dylan Strome,CHI,C,78,20,37,57,-8,20,145,3,6,10,0,0,13,46
Andrei Svechnikov,CAR,RW,82,20,17,37,0,62,189,3,0,5,0,0,123,26
Casey Cizikas,NYI,C,73,20,13,33,22,36,111,3,0,0,2,1,129,68
Brad Richardson,ARI,C,66,19,8,27,6,22,128,3,0,0,3,3,63,55
Andrew Shaw,CHI,C,63,19,28,47,17,71,135,3,3,3,0,0,128,36
Alex Galchenyuk,MIN,RW,72,19,22,41,-19,34,159,4,9,12,0,0,62,34
Anthony Duclair,OTT,LW,74,19,14,33,-2,14,132,3,7,1,0,0,32,33
Anthony Cirelli,TB,C,82,19,20,39,25,34,123,5,0,1,5,1,94,49
Jared McCann,PIT,C,78,19,16,35,-1,31,150,2,1,2,4,0,77,51
Kevin Hayes,PHI,C,71,19,36,55,-2,12,156,2,3,8,2,1,58,15
Ryan Strome,NYR,C,81,19,16,35,-3,64,110,2,4,3,0,0,76,36
Reilly Smith,VGK,RW,74,19,34,53,13,14,178,1,4,10,1,3,39,33
Jordan Eberle,NYI,RW,78,19,18,37,-6,17,160,5,7,5,0,0,36,35
Travis Zajac,NJ,C,80,19,27,46,-25,20,120,3,5,7,2,0,66,38
Patric Hornqvist,PIT,RW,69,18,19,37,-3,26,197,2,6,6,0,0,150,34
Alex Killorn,TB,C,82,18,22,40,22,45,153,2,2,3,1,1,88,23
Adam Henrique,ANH,C,82,18,24,42,-5,24,122,3,8,5,0,1,78,71
Brian Boyle,FLA,C,73,18,6,24,-14,38,123,4,7,2,1,1,145,50
Tanner Pearson,VAN,LW,80,18,9,27,-15,25,147,1,3,2,0,0,128,41
Mathew Barzal,NYI,C,82,18,44,62,-5,46,179,3,3,15,0,0,25,56
Dougie Hamilton,CAR,D,82,18,21,39,0,54,259,2,2,5,0,0,160,91
Anthony Beauvillier,NYI,LW,81,18,10,28,1,8,156,4,1,1,0,0,87,35
Bryan Rust,PIT,RW,72,18,17,35,10,24,141,4,0,0,2,2,119,59
Jonathan Drouin,MON,C,81,18,35,53,-8,26,190,3,3,13,0,0,55,23
Rickard Rakell,ANH,C,69,18,25,43,-13,27,194,2,6,7,0,0,82,38
Marcus Sorensen,SJ,RW,80,17,13,30,10,23,100,1,0,0,1,1,88,29
Valtteri Filppula,DET,C,72,17,14,31,19,16,78,4,0,0,1,0,12,34
Nick Bonino,NSH,C,81,17,18,35,27,18,118,1,3,0,0,1,24,70
Jimmy Vesey,BUF,LW,81,17,18,35,-6,21,154,4,1,3,0,0,79,34
Nick Foligno,CLS,LW,73,17,18,35,12,44,141,2,2,2,0,0,175,51
Kevin Labanc,SJ,RW,82,17,39,56,-1,36,130,4,2,18,0,0,66,16
Mark Giordano,CGY,D,78,17,57,74,39,69,221,2,3,18,4,2,58,144
Micheal Ferland,VAN,LW,71,17,23,40,13,58,156,3,6,7,0,0,182,19
Brayden Schenn,STL,C,72,17,37,54,3,40,159,5,4,8,0,0,111,31
Oskar Lindblom,PHI,LW,81,17,16,33,-9,20,162,2,2,1,0,0,68,52
Erik Gustafsson,CGY,D,79,17,43,60,-6,34,160,3,4,14,0,0,100,115
Nico Hischier,NJ,C,69,17,30,47,0,24,160,3,3,8,0,0,53,44
Wayne Simmonds,BUF,RW,79,17,13,30,-16,99,157,2,5,3,0,0,137,28
Patrick Marleau,PIT,LW,82,16,21,37,-6,28,161,3,4,6,0,0,74,41
Ilya Kovalchuk,WAS,RW,64,16,18,34,-26,10,141,1,4,5,0,0,28,19
Vinnie Hinostroza,ARI,C,72,16,23,39,-4,14,152,3,3,2,0,0,69,41
Nazem Kadri,COL,C,73,16,28,44,-2,43,184,5,4,9,0,0,85,13
Michael Frolik,BUF,LW,65,16,18,34,24,26,132,4,0,0,2,0,57,22
Jason Pominville,FA,RW,73,16,15,31,-4,4,134,3,1,1,0,0,18,20
Boone Jenner,CLS,LW,77,16,22,38,6,42,170,3,1,2,1,0,158,70
Mikael Granlund,NSH,C,79,16,38,54,-8,24,189,5,2,18,2,0,46,40
Josh Bailey,NYI,LW,82,16,40,56,8,21,126,4,2,12,1,0,19,32
Kris Letang,PIT,D,65,16,40,56,13,48,206,3,2,17,1,1,116,111
Brent Burns,SJ,D,82,16,67,83,13,34,300,6,7,21,1,4,90,105
Joe Thornton,SJ,C,73,16,35,51,8,20,90,4,3,12,0,0,17,14
Thomas Vanek,FA,LW,64,16,20,36,-12,26,108,1,4,7,0,0,38,13
J.T. Compher,COL,C,66,16,16,32,-8,31,118,3,4,5,3,0,33,59
Colton Sissons,NSH,RW,75,15,15,30,20,23,111,3,1,1,0,1,109,52
Bryan Little,WPG,C,82,15,26,41,-12,26,126,5,4,3,0,2,62,29
Roman Josi,NSH,D,82,15,41,56,9,42,274,4,2,10,0,1,53,144
Zack Kassian,EDM,RW,79,15,11,26,-6,102,111,3,0,0,1,0,191,15
Alex Kerfoot,TOR,C,78,15,27,42,-9,38,116,1,4,12,0,0,22,29
Jake Virtanen,VAN,LW,70,15,10,25,-4,44,154,1,2,0,0,0,154,37
Mathieu Perreault,WPG,C,82,15,15,30,-1,44,95,3,4,3,0,0,127,25
Paul Byron,MON,C,56,15,16,31,16,17,94,3,0,1,2,1,114,36
Radek Faksa,DAL,C,81,15,15,30,-3,54,114,1,1,2,1,1,103,65
Bobby Ryan,OTT,RW,78,15,27,42,-29,35,160,1,7,9,0,0,77,49
Artem Anisimov,OTT,C,78,15,22,37,-2,14,142,1,1,3,1,0,25,33
Derek Stepan,ARI,C,72,15,20,35,-2,14,195,3,1,2,3,0,50,51
Jordan Martinook,CAR,LW,82,15,10,25,1,38,146,5,0,0,1,0,199,46
Alex Iafallo,LA,C,82,15,18,33,-17,22,148,2,2,4,0,0,87,54
Ivan Barbashev,STL,LW,80,14,12,26,-4,17,60,1,0,0,2,0,86,31
Brendan Perlini,DET,LW,68,14,7,21,-17,28,117,0,2,2,0,0,51,22
Tyson Barrie,TOR,D,78,14,45,59,-3,36,218,2,2,23,0,0,48,93
Ryan Johansen,NSH,C,80,14,50,64,7,42,136,6,0,16,1,1,95,23
Derick Brassard,NYI,C,70,14,9,23,-19,39,110,0,2,3,0,0,102,15
Josh Leivo,VAN,LW,76,14,10,24,5,32,151,2,3,4,0,0,44,23
Colin White,OTT,C,71,14,27,41,-24,24,123,2,5,3,0,0,23,35
Richard Panik,WAS,RW,75,14,19,33,-3,44,140,2,0,2,1,0,137,52
Nick Bjugstad,PIT,C,64,14,12,26,6,30,154,2,2,4,0,0,126,27
Brandon Tanev,PIT,LW,80,14,15,29,9,41,127,0,0,0,2,1,278,81
Oskar Sundqvist,STL,C,74,14,17,31,-1,22,113,2,0,1,1,1,101,31
Conor Sheary,PIT,LW,78,14,20,34,-18,12,147,3,4,2,0,0,29,29
Clayton Keller,ARI,C,82,14,33,47,-21,24,200,5,1,18,0,0,16,21
Kyle Okposo,BUF,RW,78,14,15,29,-9,41,147,2,7,4,0,0,87,27
Thomas Chabot,OTT,D,70,14,41,55,-12,32,185,2,1,15,1,0,71,112
Daniel Sprong,WAS,RW,63,14,9,23,-16,10,125,3,2,3,0,0,35,14
Mark Jankowski,CGY,C,79,14,18,32,6,12,99,1,0,0,5,3,30,56
Joonas Donskoi,COL,RW,80,14,23,37,10,10,115,4,1,2,0,0,36,36
Oliver Ekman-Larsson,ARI,D,81,14,30,44,-16,52,176,2,5,14,1,2,162,52
Shea Weber,MON,D,58,14,19,33,15,28,166,3,5,1,0,0,129,110
Ryan Getzlaf,ANH,C,67,14,34,48,-19,58,133,2,1,10,0,0,150,74
Jared Spurgeon,MIN,D,82,14,29,43,-1,20,152,0,4,7,0,1,91,145
Tyler Toffoli,VAN,RW,82,13,21,34,-16,23,226,3,3,2,0,0,39,23
Marcus Johansson,BUF,LW,58,13,17,30,-16,8,115,1,2,7,0,0,28,24
Conor Garland,ARI,RW,47,13,5,18,1,12,118,2,4,2,0,0,33,17
Jeff Carter,LA,C,76,13,20,33,-20,42,174,1,5,8,1,1,80,30
Kevin Fiala,MIN,LW,83,13,26,39,-23,36,174,2,2,9,0,0,42,20
Mathieu Joseph,TB,RW,70,13,13,26,5,26,95,1,0,0,0,2,129,14
Dominik Kahun,BUF,C,82,13,24,37,10,6,137,2,1,1,0,0,13,27
John Carlson,WAS,D,80,13,57,70,21,34,185,1,3,30,0,0,54,164
Tyler Bozak,STL,C,72,13,25,38,-3,20,141,3,2,6,0,0,52,33
Derek Ryan,CGY,C,81,13,25,38,21,24,103,1,2,5,0,4,19,19
Nolan Patrick,PHI,C,72,13,18,31,-8,27,115,3,1,1,0,0,72,26
Alex Pietrangelo,STL,D,71,13,28,41,2,22,168,2,3,12,0,1,62,139
Paul Stastny,VGK,C,50,13,29,42,14,30,103,2,1,3,1,1,35,15
Aaron Ekblad,FLA,D,82,13,24,37,1,47,180,1,5,5,0,0,114,88
Sam Bennett,CGY,LW,71,13,14,27,-6,93,115,2,4,2,0,0,121,27
Joel Armia,MON,RW,57,13,10,23,0,14,134,2,2,4,1,0,113,21
Cedric Paquette,TB,C,80,13,4,17,7,80,87,1,0,0,2,0,269,61
Lars Eller,WAS,C,81,13,23,36,-1,37,163,1,0,3,1,2,69,47
J.T. Miller,VAN,C,75,13,34,47,8,30,108,4,4,16,0,0,115,23
Jeff Petry,MON,D,82,13,33,46,-5,28,172,4,3,8,0,1,190,123
Pavel Zacha,NJ,C,61,13,12,25,-6,15,99,2,4,2,2,1,68,24
Jordan Greenway,MIN,LW,81,12,12,24,-12,29,109,0,0,0,0,0,57,40
Brendan Lemieux,NYR,LW,63,12,5,17,6,108,67,1,0,0,0,0,129,31
Austin Wagner,LA,LW,62,12,9,21,2,16,67,0,0,0,0,0,142,9
Drake Caggiula,CHI,LW,55,12,11,23,-5,28,96,2,0,0,1,0,135,26
Andre Burakovsky,COL,LW,76,12,13,25,2,14,100,4,1,0,0,0,35,29
Pontus Aberg,TOR,LW,59,12,13,25,-14,20,101,1,3,4,0,0,45,11
Vince Dunn,STL,D,78,12,23,35,14,45,150,4,3,5,0,0,48,68
Miro Heiskanen,DAL,D,82,12,21,33,-14,16,182,4,2,6,0,1,34,71
Casey Mittelstadt,BUF,C,77,12,13,25,-19,10,118,1,3,7,0,0,30,16
Melker Karlsson,SJ,C,79,12,4,16,-1,26,79,2,0,0,0,0,67,39
Scott Laughton,PHI,C,82,12,20,32,-11,53,130,1,0,0,0,2,146,46
Tyler Ennis,EDM,LW,51,12,6,18,-6,2,81,1,2,3,0,0,49,14
Troy Brouwer,STL,RW,75,12,9,21,-6,47,86,1,0,0,1,0,177,38
Chris Wagner,BOS,RW,76,12,7,19,3,51,135,1,0,0,0,0,247,38
Brandon Pirri,VGK,C,31,12,6,18,7,6,82,3,3,1,0,0,29,13
Markus Granlund,FA,C,77,12,10,22,-4,20,123,1,2,1,0,1,46,24
Mats Zuccarello,MIN,RW,48,12,28,40,-8,24,104,1,3,12,0,0,57,43
Adrian Kempe,LA,C,81,12,16,28,-10,50,118,2,0,4,0,0,86,21
Victor Hedman,TB,D,70,12,42,54,24,44,182,4,2,23,0,1,59,97
Colin Wilson,COL,LW,65,12,15,27,-6,8,104,2,5,2,0,0,55,31
Ryan Hartman,MIN,RW,83,12,14,26,1,74,145,2,0,0,0,0,107,39
Josh Archibald,EDM,RW,68,12,10,22,1,15,92,1,0,0,0,1,161,39
Matt Dumba,MIN,D,32,12,10,22,-5,21,93,1,6,6,0,0,60,43
Phillip Danault,MON,C,81,12,41,53,17,39,132,1,0,4,0,2,95,60
Charlie Coyle,BOS,C,81,12,22,34,-1,20,155,2,1,3,1,0,77,56
Adam Lowry,WPG,LW,78,12,11,23,6,33,105,3,0,0,1,2,223,49
Shea Theodore,VGK,D,79,12,25,37,-4,20,202,1,4,5,0,1,27,91
Andrew Copp,WPG,C,69,11,14,25,20,6,82,2,0,0,1,0,71,34
Lawson Crouse,ARI,LW,81,11,14,25,5,67,131,1,0,0,2,0,288,44
Ondrej Kase,BOS,RW,30,11,9,20,0,2,94,2,1,3,0,0,17,11
Esa Lindell,DAL,D,82,11,21,32,14,33,132,1,4,3,2,0,143,161
Magnus Paajarvi,FA,LW,80,11,8,19,-14,6,119,1,0,0,1,1,65,67
Jaden Schwartz,STL,LW,69,11,25,36,-6,16,183,1,2,3,0,0,61,27
Matt Calvert,COL,LW,82,11,15,26,-10,58,141,0,1,1,0,2,115,51
Loui Eriksson,VAN,RW,81,11,18,29,-11,22,107,2,1,2,0,0,3,28
Justin Faulk,STL,D,82,11,24,35,9,47,217,3,6,4,0,0,156,121
Damon Severson,NJ,D,82,11,28,39,-27,58,146,0,3,9,0,1,83,87
Filip Chytil,NYR,C,75,11,12,23,-22,8,133,2,3,4,0,0,29,21
Garnet Hathaway,WAS,RW,76,11,8,19,14,56,77,5,0,0,2,0,200,36
Artturi Lehkonen,MON,LW,82,11,20,31,10,32,176,4,0,0,0,0,120,39
Jesperi Kotkaniemi,MON,C,79,11,23,34,1,26,134,2,1,4,0,0,66,41
Vladislav Namestnikov,COL,C,78,11,20,31,-7,44,119,3,1,2,2,3,140,62
Jordan Staal,CAR,C,50,11,17,28,6,26,121,1,0,2,0,0,122,18
Taylor Hall,ARI,LW,33,11,26,37,-6,16,113,3,1,11,0,0,22,29
Christian Fischer,ARI,RW,71,11,7,18,-13,27,116,0,0,0,0,0,124,19
Danton Heinen,ANH,C,77,11,23,34,13,16,114,2,1,6,0,0,54,36
Kyle Clifford,TOR,LW,72,11,10,21,4,96,115,2,1,0,0,0,115,24
Tyson Jost,COL,C,70,11,15,26,-2,14,114,3,4,1,0,0,48,35
Zach Werenski,CLS,D,82,11,33,44,-12,18,168,1,2,13,0,0,67,89
Calle Jarnkrok,NSH,C,79,10,16,26,13,12,106,1,1,1,1,0,56,22
Devin Shore,CLS,C,76,10,19,29,-12,13,82,4,2,3,2,0,94,64
Darnell Nurse,EDM,D,82,10,31,41,-5,87,196,1,1,8,0,1,162,146
Ryan Donato,MIN,C,56,10,15,25,-15,6,139,1,3,5,0,0,24,21
Alexander Edler,VAN,D,56,10,24,34,3,54,128,2,4,13,0,1,127,166
Luke Glendening,DET,RW,78,10,13,23,2,15,102,1,0,0,1,2,198,102
Warren Foegele,CAR,LW,77,10,5,15,-17,20,106,3,0,0,0,0,126,19
Miles Wood,NJ,LW,63,10,14,24,-10,91,159,1,1,2,0,0,97,27
Alexander Steen,STL,LW,65,10,17,27,2,14,114,0,2,3,1,1,55,50
Frans Nielsen,DET,C,72,10,25,35,-7,14,120,4,0,8,0,1,79,44
Patrick Maroon,TB,LW,74,10,18,28,-3,64,118,3,2,9,0,0,135,7
Vincent Trocheck,CAR,C,55,10,24,34,-9,54,158,1,3,10,1,0,112,42
John Klingberg,DAL,D,64,10,35,45,6,12,153,5,5,15,0,0,42,77
Colton Parayko,STL,D,80,10,18,28,20,15,176,3,4,4,0,1,127,157
Brock McGinn,CAR,LW,82,10,16,26,10,20,123,0,0,0,1,0,137,38
Lucas Wallmark,FLA,C,81,10,18,28,-8,36,131,4,2,5,0,0,82,39
Tyler Motte,VAN,C,74,9,7,16,-12,10,114,1,0,0,2,0,200,52
Riley Sheahan,EDM,C,82,9,10,19,-9,17,110,2,0,0,1,1,72,44
Tyler Myers,VAN,D,80,9,22,31,11,63,156,3,0,7,1,1,97,99
Ryan McDonagh,TB,D,82,9,37,46,38,34,128,1,0,3,0,3,98,161
Antoine Roussel,VAN,LW,65,9,22,31,5,118,84,1,0,0,0,0,87,50
Shayne Gostisbehere,PHI,D,78,9,28,37,-20,22,180,2,4,10,0,0,46,102
Travis Sanheim,PHI,D,82,9,26,35,-4,22,121,2,2,3,0,0,45,133
Roope Hintz,DAL,LW,58,9,13,22,-11,24,99,3,3,3,0,0,87,36
Rasmus Dahlin,BUF,D,82,9,35,44,-13,34,177,4,5,15,0,0,97,66
Sven Baertschi,VAN,LW,26,9,5,14,-9,6,43,0,3,4,0,0,18,13
Chris Tierney,OTT,C,81,9,39,48,-22,26,116,1,0,10,0,0,30,54
Oscar Lindberg,FA,C,55,9,11,20,4,28,91,0,0,1,0,0,104,27
P.K. Subban,NJ,D,63,9,22,31,5,60,168,1,2,8,1,0,56,75
Zack Smith,CHI,C,70,9,19,28,-6,81,101,1,0,0,1,2,136,27
Evan Rodrigues,PIT,C,74,9,20,29,-7,25,168,1,2,2,0,3,33,33
Nate Schmidt,VGK,D,61,9,21,30,22,8,112,1,1,7,0,0,37,100
Jake Muzzin,TOR,D,80,9,28,37,21,47,141,1,1,4,0,1,172,134
Ryan Reaves,VGK,RW,80,9,11,20,1,74,95,2,3,0,0,0,305,24
Seth Jones,CLS,D,75,9,37,46,1,28,184,4,0,10,0,3,106,133
T.J. Brodie,CGY,D,79,9,25,34,29,24,102,1,1,3,1,0,21,86
Michael Grabner,ARI,RW,41,9,7,16,-2,8,65,1,0,0,6,3,28,15
Jack Roslovic,WPG,RW,77,9,15,24,-2,4,74,0,5,2,0,0,32,21
Robert Thomas,STL,C,70,9,24,33,-2,14,80,0,3,4,0,0,13,22
Ryan Pulock,NYI,D,82,9,28,37,21,22,180,3,3,6,0,0,143,148
Nick Ritchie,BOS,LW,60,9,22,31,6,82,96,2,2,7,0,0,123,31
